offset_y_mm,offset_z_mm,roll_deg,pitch_deg,yaw_deg,success,outcome,max_insertion_depth_m,max_contact_force_n,max_penetration_m,first_contact_offset_y_m,first_contact_offset_z_m,first_contact_orientation_error_deg
-3,0,0,0,0,False,jam,7.598920098182693e-06,1.3019321756017317,7.598920098192843e-06,-0.003,0.0,0.0
-1,0,0,0,0,False,jam,7.598436520012131e-06,1.3019318516366165,7.599463549013253e-06,-0.001,0.0,0.0
-0.5,0,0,0,0,False,jam,7.598197462380801e-06,1.3019313900721907,7.5997359958279405e-06,-0.0005,0.0,0.0
-0.25,0,0,0,0,True,success,0.016003599677392642,0.31562673494193494,3.599746035770647e-06,-0.00025,0.0,0.0
0,-3,0,0,0,False,jam,7.607160274994418e-06,1.3017491463342417,7.605214857500323e-06,7.207767206729064e-37,-0.0030000000000000027,0.0
0,-1,0,0,0,False,jam,1.945474245079737e-05,1.297734121865569,7.604195806183747e-06,7.207767206729064e-37,-0.0010000000000000009,0.0
0,-0.5,0,0,0,False,jam,2.8140649299703696e-05,1.2958464661884528,7.59994195173667e-06,7.207767206729064e-37,-0.0005000000000000004,0.0
0,-0.25,0,0,0,True,success,0.016003599708097522,0.3156264584694491,3.599986496511783e-06,1.0165827257817844e-35,-0.0002500000000000002,0.0
0,0,-10,0,0,False,jam,7.5943036545733644e-06,1.3019728699721842,7.594303654596165e-06,2.7922034357259397e-21,0.0,10.0
0,0,-5,0,0,False,jam,7.598920098189632e-06,1.3019321756153672,7.5989200981911246e-06,1.3823057438952048e-21,0.0,5.000000000000001
0,0,-2,0,0,True,success,0.016003599701139546,0.3156267505712661,3.5997011395505964e-06,2.980580152113255e-21,0.0,2.0
0,0,-1,0,0,True,success,0.016003599701139553,0.31562675057043904,3.599701139557257e-06,1.444743818194708e-21,0.0,1.0
0,0,0,-10,0,False,jam,0.00012443024376065752,1.2785237535514415,5.281743019990579e-06,3.7357453070073395e-35,2.7658431100974212e-14,10.000000000100973
0,0,0,-5,0,False,jam,0.00020630262312196918,1.2876206611973977,6.439397268974844e-06,4.606529797962238e-36,2.854660952067434e-14,5.000000000103006
0,0,0,-2,0,False,jam,0.00013569025276194066,1.2929474851689737,4.384387027927356e-06,-9.085479283850891e-36,2.853273173286652e-14,2.0000000001026614
0,0,0,-1,0,True,success,0.015963338157246022,0.317532986747759,7.286380840189756e-06,-1.356798951343464e-35,2.8047009159593017e-14,1.0000000001008669
0,0,0,0,-10,False,jam,-0.002313661936612227,1.3000516952076318,4.294272560786638e-06,-2.7230875178145017e-14,0.0,10.00000000009901
0,0,0,0,-5,False,jam,-0.0004470527680817474,2.000031233592856,6.898426907248639e-06,-2.8325922922684708e-14,0.0,5.0000000001018154
0,0,0,0,-2,True,success,0.0157829690818317,2.000142381854205,7.243979095277605e-06,-2.7653906071391497e-14,0.0,2.000000000099086
0,0,0,0,-1,True,success,0.016000209261917038,0.32781972183911595,7.106623447573236e-06,-2.8338794439273808e-14,0.0,1.0000000001014961
0,0,0,0,0,True,success,0.01600359970113954,0.3156267505712661,3.5997011395667587e-06,1.0165827257817844e-35,0.0,0.0
0,0,0,0,1,True,success,0.016000209083755417,0.32768707198384184,7.106623447573202e-06,2.8338794439273808e-14,0.0,1.0000000001014961
0,0,0,0,2,True,success,0.0157829690818317,2.0001423818542046,7.243979095277608e-06,2.7653906071391497e-14,0.0,2.000000000099086
0,0,0,0,5,False,jam,-0.0004470527680817439,2.0000312335928543,6.898426907248639e-06,2.8325922922684708e-14,0.0,5.0000000001018154
0,0,0,0,10,False,jam,-0.002313661936612227,1.3000516952076315,4.2942725607866405e-06,2.7230875178145017e-14,0.0,10.00000000009901
0,0,0,1,0,True,success,0.015963338157246022,0.31753295887562716,7.286380840188021e-06,-2.222536164184026e-35,-2.8047009159593017e-14,1.0000000001008666
0,0,0,2,0,False,jam,0.0001356902527619372,1.292947476176296,4.384387027927417e-06,-3.755141288062998e-36,-2.853273173286652e-14,2.0000000001026614
0,0,0,5,0,False,jam,0.00020630262312196918,1.2876206370627161,6.439397268974959e-06,1.8983664116990833e-35,-2.854660952067434e-14,5.000000000103006
0,0,0,10,0,False,jam,0.00012443024376065752,1.2785236913135591,5.281743019990579e-06,-2.3872276923387926e-35,-2.7658431100974212e-14,10.000000000100973
0,0,1,0,0,True,success,0.01600359970113953,0.31562675057043904,3.5997011396023103e-06,-1.444743818194708e-21,0.0,1.0
0,0,2,0,0,True,success,0.01600359970113954,0.3156267505712661,3.5997011395603136e-06,-2.980580152113255e-21,0.0,2.0
0,0,5,0,0,False,jam,7.598920098179224e-06,1.3019321756153808,7.5989200982051455e-06,-1.3823057438952048e-21,0.0,5.000000000000001
0,0,10,0,0,False,jam,7.594303654556017e-06,1.3019728704811606,7.594303654612165e-06,-2.7922034357259397e-21,0.0,10.0
0,0.25,0,0,0,True,success,0.01600359970809752,0.31562645846964543,3.5999864965118827e-06,1.0165827257817844e-35,0.0002500000000000002,0.0
0,0.5,0,0,0,False,jam,2.8140649299703696e-05,1.2958464673047578,7.599941951736785e-06,7.207767206729064e-37,0.0005000000000000004,0.0
0,1,0,0,0,False,jam,1.945474245079737e-05,1.297734122503316,7.604195806183991e-06,7.207767206729064e-37,0.0010000000000000009,0.0
0,3,0,0,0,False,jam,7.607160274994418e-06,1.3017491463372433,7.60521485750031e-06,7.207767206729064e-37,0.0030000000000000027,0.0
0.25,0,0,0,0,True,success,0.016003599677392642,0.31562673494183147,3.599746035774109e-06,0.00025,0.0,0.0
0.5,0,0,0,0,False,jam,7.598197462380801e-06,1.3019313901230125,7.599735995827915e-06,0.0005,0.0,0.0
1,0,0,0,0,False,jam,7.598436520012131e-06,1.3019318516801957,7.599463549013313e-06,0.001,0.0,0.0
3,0,0,0,0,False,jam,7.598920098186163e-06,1.3019321756055133,7.5989200981996135e-06,0.003,0.0,0.0
